"year","firstname","rank","genderindex"
"1939","Carman",73,0.42
"1939","Deon",77,0.44
"1939","Charley",29,0.05
"1939","Hollie",48,0.28
"1939","Kelly",10,0.06
"1939","Avery",91,0.12
"1939","Hilary",9,0.22
"1939","Arlyn",61,0.1
"1939","Stacy",27,0.14
"1939","Waverly",31,0.23
"1939","Emery",45,0.04
"1939","Ivey",81,0.19
"1939","Lacey",62,0.29
"1939","Marlo",98,0.29
"1939","Corliss",82,0.42
"1939","Lauren",3,0.06
"1939","Lindsay",13,0.12
"1939","Marlowe",80,0.22
"1939","Stevie",33,0.42
"1939","Whitney",23,0.19
"1940","Beverly",44,0.99
"1940","Jean",68,0.98
"1940","Shelby",2,0.85
"1940","Lynn",46,0.48
"1940","Frankie",89,0.57
"1940","Lou",79,0.93
"1940","Gale",67,0.56
"1940","Sandy",15,0.81
"1940","Jan",30,0.49
"1940","Robbie",71,0.81
"1940","Leslie",4,0.16
"1940","Robin",85,0.51
"1940","Sherrill",93,0.79
"1940","Gerry",56,0.46
"1940","Dee",65,0.64
"1940","Meredith",94,0.68
"1940","Donnie",83,0.15
"1940","Karon",5,0.93
"1940","Michele",75,0.92
"1940","Lavon",50,0.71
"1940","Sydney",8,0.56
"1940","Sidney",84,0.07
"1940","Rosario",63,0.64
"1940","Alpha",72,0.81
"1940","Shannon",47,0.67
"1940","Shelley",52,0.77
"1940","Artie",86,0.47
"1940","Jacque",97,0.9
"1940","Shelly",38,0.55
"1940","Lesley",14,0.36
"1940","Tracy",40,0.19
"1940","Christy",34,0.67
"1940","Clair",24,0.15
"1940","Leigh",25,0.3
"1940","Arden",87,0.21
"1940","Allison",37,0.42
"1940","Kelly",10,0.14
"1940","Sheridan",60,0.36
"1940","Jodie",70,0.37
"1940","Lindy",16,0.5
"1940","Carman",73,0.46
"1940","Courtney",41,0.31
"1940","Aubrey",1,0.04
"1940","Ivey",81,0.4
"1940","Charley",29,0.06
"1940","Deon",77,0.57
"1940","Arlyn",61,0.2
"1940","Hilary",9,0.29
"1940","Lacy",18,0.12
"1940","Avery",91,0.1
"1940","Hollie",48,0.33
"1940","Lindsay",13,0.2
"1940","Whitney",23,0.17
"1940","Lauren",3,0.12
"1940","Blair",58,0.14
"1940","Corliss",82,0.62
"1940","Elisha",95,0.1
"1940","Lacey",62,0.29
"1940","Stacy",27,0.11
"1940","Berlin",28,0.17
"1940","Carlie",64,0.19
"1940","Kelley",26,0.14
"1940","Kendall",35,0.04
"1940","Lindsey",7,0.09
"1940","Marlowe",80,0.25
"1941","Beverly",44,0.99
"1941","Jean",68,0.98
"1941","Lynn",46,0.48
"1941","Shelby",2,0.83
"1941","Lou",79,0.93
"1941","Sandy",15,0.84
"1941","Leslie",4,0.25
"1941","Frankie",89,0.54
"1941","Jan",30,0.49
"1941","Gale",67,0.54
"1941","Robbie",71,0.81
"1941","Robin",85,0.54
"1941","Meredith",94,0.69
"1941","Dee",65,0.68
"1941","Gerry",56,0.44
"1941","Sherrill",93,0.75
"1941","Michele",75,0.96
"1941","Sydney",8,0.67
"1941","Donnie",83,0.16
"1941","Karon",5,0.96
"1941","Lavon",50,0.7
"1941","Shannon",47,0.67
"1941","Sidney",84,0.09
"1941","Rosario",63,0.54
"1941","Lesley",14,0.55
"1941","Alpha",72,0.78
"1941","Jacque",97,0.8
"1941","Shelley",52,0.73
"1941","Artie",86,0.46
"1941","Tracy",40,0.24
"1941","Christy",34,0.6
"1941","Shelly",38,0.56
"1941","Leigh",25,0.37
"1941","Allison",37,0.5
"1941","Jodie",70,0.48
"1941","Sheridan",60,0.38
"1941","Clair",24,0.15
"1941","Kelly",10,0.15
"1941","Arden",87,0.18
"1941","Courtney",41,0.43
"1941","Hilary",9,0.48
"1941","Lindy",16,0.5
"1941","Lacy",18,0.15
"1941","Deon",77,0.58
"1941","Stacy",27,0.21
"1941","Charley",29,0.06
"1941","Carlie",64,0.4
"1941","Avery",91,0.14
"1941","Hollie",48,0.41
"1941","Whitney",23,0.22
"1941","Carman",73,0.45
"1941","Lauren",3,0.11
"1941","Lindsay",13,0.2
"1941","Marlen",54,0.35
"1941","Aubrey",1,0.02
"1941","Lindsey",7,0.1
"1941","Marlo",98,0.33
"1941","Ivey",81,0.29
"1941","Kendall",35,0.06
"1941","Paris",21,0.29
"1941","Waverly",31,0.2
"1941","Arlyn",61,0.11
"1941","Ashley",11,0.1
"1941","Kelley",26,0.13
"1941","Lacey",62,0.19
"1942","Beverly",44,0.99
"1942","Jean",68,0.98
"1942","Lynn",46,0.56
"1942","Leslie",4,0.33
"1942","Michele",75,0.99
"1942","Sandy",15,0.86
"1942","Shelby",2,0.79
"1942","Lou",79,0.92
"1942","Jan",30,0.51
"1942","Frankie",89,0.52
"1942","Gale",67,0.55
"1942","Robin",85,0.55
"1942","Robbie",71,0.82
"1942","Meredith",94,0.74
"1942","Gerry",56,0.43
"1942","Dee",65,0.74
"1942","Sherrill",93,0.76
"1942","Sydney",8,0.65
"1942","Donnie",83,0.14
"1942","Shannon",47,0.72
"1942","Sidney",84,0.11
"1942","Lavon",50,0.76
"1942","Lesley",14,0.63
"1942","Shelley",52,0.83
"1942","Christy",34,0.85
"1942","Tracy",40,0.34
"1942","Rosario",63,0.62
"1942","Artie",86,0.55
"1942","Shelly",38,0.65
"1942","Leigh",25,0.43
"1942","Jacque",97,0.72
"1942","Sheridan",60,0.5
"1942","Kelly",10,0.13
"1942","Hilary",9,0.59
"1942","Allison",37,0.46
"1942","Clair",24,0.13
"1942","Jodie",70,0.43
"1942","Hollie",48,0.48
"1942","Lacy",18,0.19
"1942","Lindy",16,0.65
"1942","Courtney",41,0.28
"1942","Carlie",64,0.44
"1942","Lauren",3,0.22
"1942","Aubrey",1,0.04
"1942","Arden",87,0.12
"1942","Arlyn",61,0.24
"1942","Avery",91,0.14
"1942","Ivey",81,0.3
"1942","Lindsay",13,0.24
"1942","Carman",73,0.46
"1942","Marlo",98,0.44
"1942","Whitney",23,0.21
"1942","Stacy",27,0.19
"1942","Stevie",33,0.28
"1942","Ashley",11,0.1
"1942","Blair",58,0.09
"1942","Lindsey",7,0.11
"1942","Marlen",54,0.47
"1942","Hillary",69,0.34
"1942","Kelley",26,0.15
"1942","Kendall",35,0.06
"1942","Lacey",62,0.37
"1942","Charley",29,0.03
"1942","Deon",77,0.55
"1942","Emery",45,0.03
"1942","Kelsey",78,0.27
"1942","Marlowe",80,0.32
"1942","Paris",21,0.14
"1942","Waverly",31,0.17
"1943","Beverly",44,0.99
"1943","Jean",68,0.98
"1943","Lynn",46,0.59
"1943","Leslie",4,0.38
"1943","Michele",75,0.98
"1943","Sandy",15,0.85
"1943","Jan",30,0.54
"1943","Frankie",89,0.55
"1943","Shelby",2,0.71
"1943","Lou",79,0.92
"1943","Gale",67,0.59
"1943","Robin",85,0.59
"1943","Meredith",94,0.8
"1943","Robbie",71,0.83
"1943","Gerry",56,0.48
"1943","Sherrill",93,0.75
"1943","Dee",65,0.69
"1943","Sydney",8,0.72
"1943","Donnie",83,0.15
"1943","Shannon",47,0.74
"1943","Sidney",84,0.12
"1943","Shelley",52,0.84
"1943","Lavon",50,0.65
"1943","Lesley",14,0.59
"1943","Tracy",40,0.38
"1943","Christy",34,0.8
"1943","Rosario",63,0.65
"1943","Shelly",38,0.66
"1943","Jacque",97,0.76
"1943","Artie",86,0.51
"1943","Sheridan",60,0.6
"1943","Alpha",72,0.82
"1943","Corliss",82,0.85
"1943","Allison",37,0.53
"1943","Kelly",10,0.12
"1943","Leigh",25,0.32
"1943","Hilary",9,0.44
"1943","Courtney",41,0.31
"1943","Jodie",70,0.47
"1943","Lindy",16,0.62
"1943","Hollie",48,0.55
"1943","Avery",91,0.22
"1943","Clair",24,0.11
"1943","Charley",29,0.08
"1943","Arden",87,0.13
"1943","Lacy",18,0.16
"1943","Stacy",27,0.26
"1943","Carlie",64,0.49
"1943","Lauren",3,0.15
"1943","Lindsay",13,0.23
"1943","Aubrey",1,0.04
"1943","Kendall",35,0.1
"1943","Marlo",98,0.47
"1943","Hillary",69,0.62
"1943","Carman",73,0.46
"1943","Ivey",81,0.34
"1943","Arlyn",61,0.2
"1943","Ashley",11,0.15
"1943","Stevie",33,0.3
"1943","Paris",21,0.19
"1943","Blair",58,0.06
"1943","Deon",77,0.42
"1943","Whitney",23,0.16
"1943","Kelley",26,0.19
"1943","Lacey",62,0.32
"1943","Marlowe",80,0.46
"1943","Waverly",31,0.22
"1943","Berlin",28,0.18
"1944","Beverly",44,0.99
"1944","Jean",68,0.98
"1944","Lynn",46,0.64
"1944","Leslie",4,0.38
"1944","Michele",75,0.99
"1944","Sandy",15,0.88
"1944","Jan",30,0.53
"1944","Frankie",89,0.52
"1944","Lou",79,0.92
"1944","Gale",67,0.58
"1944","Robin",85,0.59
"1944","Shelby",2,0.7
"1944","Meredith",94,0.84
"1944","Robbie",71,0.85
"1944","Sherrill",93,0.83
"1944","Dee",65,0.73
"1944","Gerry",56,0.39
"1944","Sydney",8,0.65
"1944","Shelley",52,0.85
"1944","Donnie",83,0.12
"1944","Lesley",14,0.65
"1944","Shannon",47,0.72
"1944","Sidney",84,0.09
"1944","Lavon",50,0.7
"1944","Tracy",40,0.35
"1944","Rosario",63,0.66
"1944","Christy",34,0.77
"1944","Alpha",72,0.9
"1944","Kelly",10,0.18
"1944","Shelly",38,0.64
"1944","Sheridan",60,0.63
"1944","Jacque",97,0.84
"1944","Lauren",3,0.42
"1944","Leigh",25,0.43
"1944","Allison",37,0.53
"1944","Clair",24,0.22
"1944","Artie",86,0.5
"1944","Hilary",9,0.55
"1944","Courtney",41,0.32
"1944","Jodie",70,0.57
"1944","Hollie",48,0.55
"1944","Lacy",18,0.22
"1944","Lindy",16,0.62
"1944","Arden",87,0.2
"1944","Lindsay",13,0.38
"1944","Stacy",27,0.28
"1944","Hillary",69,0.53
"1944","Carlie",64,0.44
"1944","Carman",73,0.54
"1944","Ashley",11,0.18
"1944","Aubrey",1,0.04
"1944","Charley",29,0.06
"1944","Lacey",62,0.5
"1944","Paris",21,0.23
"1944","Arlyn",61,0.2
"1944","Deon",77,0.45
"1944","Stevie",33,0.27
"1944","Whitney",23,0.2
"1944","Avery",91,0.11
"1944","Marlo",98,0.43
"1944","Kendall",35,0.06
"1944","Blair",58,0.08
"1944","Kelley",26,0.16
"1944","Lindsey",7,0.09
"1944","Morgan",12,0.05
"1944","Waverly",31,0.21
"1944","Ivey",81,0.24
"1945","Beverly",44,0.99
"1945","Jean",68,0.98
"1945","Lynn",46,0.7
"1945","Leslie",4,0.47
"1945","Michele",75,0.99
"1945","Sandy",15,0.87
"1945","Jan",30,0.64
"1945","Robin",85,0.68
"1945","Frankie",89,0.47
"1945","Gale",67,0.61
"1945","Lou",79,0.89
"1945","Lauren",3,0.86
"1945","Shelby",2,0.69
"1945","Meredith",94,0.84
"1945","Robbie",71,0.82
"1945","Dee",65,0.8
"1945","Sherrill",93,0.81
"1945","Gerry",56,0.42
"1945","Shelley",52,0.86
"1945","Sydney",8,0.6
"1945","Lesley",14,0.73
"1945","Shannon",47,0.7
"1945","Donnie",83,0.11
"1945","Tracy",40,0.38
"1945","Sidney",84,0.1
"1945","Christy",34,0.81
"1945","Lavon",50,0.7
"1945","Leigh",25,0.49
"1945","Shelly",38,0.68
"1945","Jacque",97,0.91
"1945","Artie",86,0.5
"1945","Rosario",63,0.66
"1945","Kelly",10,0.18
"1945","Allison",37,0.57
"1945","Hilary",9,0.62
"1945","Alpha",72,0.8
"1945","Sheridan",60,0.56
"1945","Courtney",41,0.29
"1945","Clair",24,0.18
"1945","Lindy",16,0.73
"1945","Jodie",70,0.44
"1945","Stacy",27,0.28
"1945","Carlie",64,0.58
"1945","Deon",77,0.8
"1945","Hillary",69,0.55
"1945","Hollie",48,0.44
"1945","Lindsay",13,0.27
"1945","Carman",73,0.61
"1945","Lacy",18,0.21
"1945","Arden",87,0.14
"1945","Kendall",35,0.11
"1945","Avery",91,0.14
"1945","Kelley",26,0.27
"1945","Arlyn",61,0.23
"1945","Aubrey",1,0.04
"1945","Lindsey",7,0.14
"1945","Ashley",11,0.15
"1945","Ivey",81,0.3
"1945","Whitney",23,0.17
"1945","Blair",58,0.09
"1945","Charley",29,0.05
"1945","Marlo",98,0.43
"1945","Lacey",62,0.39
"1945","Kelsey",78,0.34
"1945","Marlen",54,0.34
"1945","Jaime",74,0.06
"1945","Marlowe",80,0.39
"1945","Stevie",33,0.15
"1946","Beverly",44,0.99
"1946","Jean",68,0.98
"1946","Lynn",46,0.72
"1946","Leslie",4,0.51
"1946","Michele",75,0.99
"1946","Sandy",15,0.87
"1946","Jan",30,0.68
"1946","Robin",85,0.65
"1946","Gale",67,0.66
"1946","Lou",79,0.91
"1946","Frankie",89,0.44
"1946","Lauren",3,0.84
"1946","Shelby",2,0.7
"1946","Meredith",94,0.8
"1946","Dee",65,0.74
"1946","Robbie",71,0.74
"1946","Sherrill",93,0.84
"1946","Lesley",14,0.79
"1946","Gerry",56,0.38
"1946","Shelley",52,0.89
"1946","Christy",34,0.88
"1946","Corliss",82,0.97
"1946","Shannon",47,0.65
"1946","Sydney",8,0.67
"1946","Donnie",83,0.1
"1946","Leigh",25,0.6
"1946","Tracy",40,0.38
"1946","Sidney",84,0.08
"1946","Jacque",97,0.85
"1946","Allison",37,0.64
"1946","Rosario",63,0.7
"1946","Lavon",50,0.67
"1946","Shelly",38,0.77
"1946","Sheridan",60,0.58
"1946","Alpha",72,0.79
"1946","Kelly",10,0.16
"1946","Artie",86,0.45
"1946","Jodie",70,0.55
"1946","Stacy",27,0.43
"1946","Hilary",9,0.66
"1946","Clair",24,0.2
"1946","Lindy",16,0.57
"1946","Arden",87,0.29
"1946","Lindsay",13,0.36
"1946","Courtney",41,0.33
"1946","Hillary",69,0.6
"1946","Hollie",48,0.53
"1946","Lindsey",7,0.18
"1946","Arlyn",61,0.28
"1946","Jaime",74,0.16
"1946","Carlie",64,0.41
"1946","Marlo",98,0.61
"1946","Carman",73,0.53
"1946","Deon",77,0.38
"1946","Lacy",18,0.11
"1946","Morgan",12,0.07
"1946","Whitney",23,0.19
"1946","Aubrey",1,0.03
"1946","Paris",21,0.24
"1946","Stevie",33,0.2
"1946","Blair",58,0.09
"1946","Marlen",54,0.51
"1946","Ashley",11,0.09
"1946","Kelsey",78,0.31
"1946","Avery",91,0.07
"1946","Lacey",62,0.41
"1946","Waverly",31,0.15
"1946","Ivey",81,0.16
"1946","Kelley",26,0.1
"1947","Beverly",44,0.99
"1947","Jean",68,0.98
"1947","Lynn",46,0.74
"1947","Leslie",4,0.51
"1947","Michele",75,0.99
"1947","Jan",30,0.67
"1947","Sandy",15,0.86
"1947","Robin",85,0.63
"1947","Gale",67,0.68
"1947","Lou",79,0.9
"1947","Frankie",89,0.47
"1947","Lauren",3,0.83
"1947","Shelby",2,0.72
"1947","Dee",65,0.75
"1947","Meredith",94,0.79
"1947","Robbie",71,0.69
"1947","Sherrill",93,0.85
"1947","Christy",34,0.92
"1947","Shannon",47,0.78
"1947","Karon",5,0.98
"1947","Gerry",56,0.39
"1947","Shelley",52,0.88
"1947","Lesley",14,0.76
"1947","Corliss",82,0.96
"1947","Sydney",8,0.62
"1947","Tracy",40,0.42
"1947","Donnie",83,0.08
"1947","Sidney",84,0.1
"1947","Leigh",25,0.53
"1947","Allison",37,0.69
"1947","Jacque",97,0.89
"1947","Rosario",63,0.75
"1947","Lavon",50,0.7
"1947","Shelly",38,0.7
"1947","Kelly",10,0.18
"1947","Sheridan",60,0.71
"1947","Jodie",70,0.58
"1947","Hilary",9,0.6
"1947","Lindsay",13,0.5
"1947","Alpha",72,0.81
"1947","Stacy",27,0.45
"1947","Hillary",69,0.79
"1947","Artie",86,0.42
"1947","Lindy",16,0.62
"1947","Courtney",41,0.32
"1947","Clair",24,0.19
"1947","Hollie",48,0.62
"1947","Lindsey",7,0.27
"1947","Arden",87,0.19
"1947","Arlyn",61,0.28
"1947","Carlie",64,0.39
"1947","Carman",73,0.65
"1947","Kendall",35,0.11
"1947","Jaime",74,0.12
"1947","Lacy",18,0.13
"1947","Blair",58,0.12
"1947","Lacey",62,0.51
"1947","Marlo",98,0.53
"1947","Whitney",23,0.26
"1947","Ashley",11,0.14
"1947","Aubrey",1,0.04
"1947","Charley",29,0.05
"1947","Avery",91,0.09
"1947","Deon",77,0.51
"1947","Kelley",26,0.17
"1947","Kelsey",78,0.51
"1947","Paris",21,0.2
"1947","Elisha",95,0.13
"1947","Marlen",54,0.34
"1947","Stevie",33,0.13
"1947","Berlin",28,0.25
"1947","Ivey",81,0.18
"1947","Lorin",43,0.06
"1947","Marlowe",80,0.18
"1947","Waverly",31,0.15
"1948","Beverly",44,1
"1948","Jean",68,0.98
"1948","Lynn",46,0.75
"1948","Leslie",4,0.52
"1948","Michele",75,0.99
"1948","Jan",30,0.67
"1948","Robin",85,0.66
"1948","Sandy",15,0.86
"1948","Gale",67,0.64
"1948","Frankie",89,0.45
"1948","Lou",79,0.92
"1948","Lauren",3,0.86
"1948","Shelley",52,0.96
"1948","Robbie",71,0.75
"1948","Meredith",94,0.82
"1948","Dee",65,0.74
"1948","Sherrill",93,0.86
"1948","Christy",34,0.91
"1948","Shelby",2,0.63
"1948","Karon",5,0.96
"1948","Shannon",47,0.74
"1948","Gerry",56,0.39
"1948","Lesley",14,0.75
"1948","Donnie",83,0.09
"1948","Sydney",8,0.66
"1948","Allison",37,0.8
"1948","Leigh",25,0.57
"1948","Tracy",40,0.38
"1948","Shelly",38,0.74
"1948","Jacque",97,0.84
"1948","Kelly",10,0.18
"1948","Rosario",63,0.64
"1948","Lavon",50,0.65
"1948","Sidney",84,0.07
"1948","Lindsay",13,0.52
"1948","Stacy",27,0.49
"1948","Hilary",9,0.6
"1948","Jodie",70,0.58
"1948","Lindy",16,0.73
"1948","Sheridan",60,0.6
"1948","Alpha",72,0.75
"1948","Artie",86,0.42
"1948","Courtney",41,0.38
"1948","Hillary",69,0.7
"1948","Hollie",48,0.74
"1948","Clair",24,0.2
"1948","Lindsey",7,0.2
"1948","Arden",87,0.21
"1948","Marlo",98,0.54
"1948","Lacy",18,0.16
"1948","Deon",77,0.58
"1948","Jaime",74,0.11
"1948","Arlyn",61,0.27
"1948","Ashley",11,0.17
"1948","Avery",91,0.14
"1948","Carlie",64,0.41
"1948","Kelley",26,0.28
"1948","Kendall",35,0.07
"1948","Stevie",33,0.13
"1948","Blair",58,0.09
"1948","Carman",73,0.48
"1948","Aubrey",1,0.03
"1948","Charley",29,0.06
"1948","Paris",21,0.2
"1948","Elisha",95,0.18
"1948","Ivey",81,0.37
"1948","Kelsey",78,0.33
"1948","Waverly",31,0.22
"1948","Lacey",62,0.31
"1948","Lorin",43,0.11
"1948","Brook",66,0.59
"1948","Marlen",54,0.55
"1948","Whitney",23,0.12
"1948","Berlin",28,0.23
"1949","Beverly",44,0.99
"1949","Jean",68,0.98
"1949","Lynn",46,0.76
"1949","Leslie",4,0.53
"1949","Michele",75,0.99
"1949","Jan",30,0.74
"1949","Robin",85,0.67
"1949","Shelley",52,0.97
"1949","Sandy",15,0.79
"1949","Gale",67,0.66
"1949","Frankie",89,0.44
"1949","Lauren",3,0.86
"1949","Lou",79,0.93
"1949","Christy",34,0.92
"1949","Robbie",71,0.73
"1949","Dee",65,0.75
"1949","Meredith",94,0.84
"1949","Shannon",47,0.77
"1949","Lesley",14,0.76
"1949","Sherrill",93,0.87
"1949","Shelby",2,0.63
"1949","Gerry",56,0.39
"1949","Shelly",38,0.84
"1949","Sydney",8,0.68
"1949","Tracy",40,0.42
"1949","Leigh",25,0.62
"1949","Allison",37,0.8
"1949","Jacque",97,0.91
"1949","Donnie",83,0.07
"1949","Kelly",10,0.19
"1949","Rosario",63,0.73
"1949","Sidney",84,0.09
"1949","Hilary",9,0.72
"1949","Stacy",27,0.47
"1949","Lindsay",13,0.57
"1949","Lindy",16,0.68
"1949","Lavon",50,0.65
"1949","Jodie",70,0.6
"1949","Hillary",69,0.79
"1949","Lindsey",7,0.34
"1949","Sheridan",60,0.55
"1949","Artie",86,0.41
"1949","Courtney",41,0.33
"1949","Hollie",48,0.7
"1949","Alpha",72,0.64
"1949","Clair",24,0.23
"1949","Jaime",74,0.15
"1949","Carman",73,0.67
"1949","Arden",87,0.24
"1949","Arlyn",61,0.29
"1949","Cheyenne",19,0.75
"1949","Blair",58,0.11
"1949","Kelley",26,0.25
"1949","Lacey",62,0.31
"1949","Lacy",18,0.14
"1949","Marlo",98,0.49
"1949","Ashley",11,0.17
"1949","Brook",66,0.46
"1949","Charley",29,0.06
"1949","Deon",77,0.43
"1949","Kendall",35,0.06
"1949","Paris",21,0.3
"1949","Stevie",33,0.08
"1949","Avery",91,0.14
"1949","Elisha",95,0.15
"1949","Carlie",64,0.37
"1949","Ivey",81,0.23
"1949","Whitney",23,0.19
"1949","Waverly",31,0.2
"1949","Kelsey",78,0.2
"1949","Aubrey",1,0.02
"1949","Emery",45,0.04
"1949","Marlowe",80,0.27
"1949","Morgan",12,0.04
"1950","Beverly",44,0.99
"1950","Jean",68,0.98
"1950","Lynn",46,0.76
"1950","Michele",75,0.99
"1950","Leslie",4,0.53
"1950","Robin",85,0.74
"1950","Jan",30,0.75
"1950","Shelley",52,0.98
"1950","Gale",67,0.67
"1950","Sandy",15,0.74
"1950","Christy",34,0.95
"1950","Frankie",89,0.41
"1950","Lauren",3,0.86
"1950","Lou",79,0.93
"1950","Shannon",47,0.81
"1950","Shelly",38,0.86
"1950","Robbie",71,0.74
"1950","Dee",65,0.8
"1950","Meredith",94,0.85
"1950","Lesley",14,0.8
"1950","Shelby",2,0.64
"1950","Jacque",97,0.93
"1950","Sherrill",93,0.86
"1950","Sydney",8,0.73
"1950","Tracy",40,0.45
"1950","Leigh",25,0.69
"1950","Allison",37,0.81
"1950","Gerry",56,0.35
"1950","Lindsay",13,0.55
"1950","Rosario",63,0.78
"1950","Hilary",9,0.81
"1950","Kelly",10,0.17
"1950","Donnie",83,0.05
"1950","Lavon",50,0.66
"1950","Lindy",16,0.68
"1950","Jodie",70,0.73
"1950","Sidney",84,0.07
"1950","Stacy",27,0.41
"1950","Hillary",69,0.74
"1950","Lindsey",7,0.33
"1950","Sheridan",60,0.67
"1950","Artie",86,0.42
"1950","Clair",24,0.29
"1950","Alpha",72,0.71
"1950","Hollie",48,0.81
"1950","Courtney",41,0.38
"1950","Jaime",74,0.16
"1950","Blair",58,0.14
"1950","Kelley",26,0.34
"1950","Arden",87,0.21
"1950","Carman",73,0.59
"1950","Avery",91,0.18
"1950","Ashley",11,0.21
"1950","Whitney",23,0.26
"1950","Arlyn",61,0.28
"1950","Lacy",18,0.14
"1950","Lorin",43,0.16
"1950","Kendall",35,0.08
"1950","Ivey",81,0.37
"1950","Paris",21,0.3
"1950","Aubrey",1,0.03
"1950","Kelsey",78,0.53
"1950","Brook",66,0.48
"1950","Charley",29,0.05
"1950","Stevie",33,0.07
"1950","Deon",77,0.51
"1950","Lacey",62,0.26
"1950","Waverly",31,0.18
"1950","Marlo",98,0.28
"1950","Marlowe",80,0.36
"1950","Morgan",12,0.04
"1951","Beverly",44,1
"1951","Jean",68,0.98
"1951","Lynn",46,0.78
"1951","Robin",85,0.76
"1951","Michele",75,0.99
"1951","Leslie",4,0.53
"1951","Jan",30,0.76
"1951","Shelley",52,0.98
"1951","Gale",67,0.72
"1951","Christy",34,0.95
"1951","Sandy",15,0.73
"1951","Lou",79,0.89
"1951","Frankie",89,0.41
"1951","Lauren",3,0.83
"1951","Shelly",38,0.91
"1951","Shannon",47,0.78
"1951","Meredith",94,0.85
"1951","Dee",65,0.77
"1951","Robbie",71,0.72
"1951","Lesley",14,0.78
"1951","Allison",37,0.87
"1951","Shelby",2,0.6
"1951","Sherrill",93,0.86
"1951","Sydney",8,0.78
"1951","Tracy",40,0.41
"1951","Leigh",25,0.69
"1951","Jacque",97,0.89
"1951","Kelly",10,0.2
"1951","Gerry",56,0.38
"1951","Corliss",82,0.97
"1951","Lindsay",13,0.52
"1951","Rosario",63,0.72
"1951","Stacy",27,0.49
"1951","Donnie",83,0.06
"1951","Hilary",9,0.79
"1951","Jodie",70,0.71
"1951","Lindy",16,0.72
"1951","Sidney",84,0.09
"1951","Lavon",50,0.58
"1951","Lindsey",7,0.29
"1951","Hollie",48,0.87
"1951","Sheridan",60,0.73
"1951","Hillary",69,0.7
"1951","Clair",24,0.23
"1951","Courtney",41,0.34
"1951","Alpha",72,0.74
"1951","Kelley",26,0.41
"1951","Artie",86,0.33
"1951","Carman",73,0.69
"1951","Deon",77,0.75
"1951","Jaime",74,0.15
"1951","Arden",87,0.27
"1951","Arlyn",61,0.32
"1951","Blair",58,0.08
"1951","Lacy",18,0.19
"1951","Ashley",11,0.24
"1951","Carlie",64,0.45
"1951","Ivey",81,0.44
"1951","Marlo",98,0.36
"1951","Aubrey",1,0.04
"1951","Cheyenne",19,0.69
"1951","Morgan",12,0.07
"1951","Paris",21,0.24
"1951","Charley",29,0.07
"1951","Kendall",35,0.07
"1951","Lorin",43,0.14
"1951","Kelsey",78,0.35
"1951","Avery",91,0.09
"1951","Brook",66,0.45
"1951","Stevie",33,0.06
"1951","Taylor",57,0.1
"1951","Elisha",95,0.12
"1951","Lacey",62,0.36
"1951","Marlen",54,0.39
"1951","Waverly",31,0.1
"1952","Beverly",44,0.99
"1952","Jean",68,0.98
"1952","Lynn",46,0.79
"1952","Robin",85,0.78
"1952","Leslie",4,0.61
"1952","Michele",75,0.99
"1952","Jan",30,0.8
"1952","Shelley",52,0.98
"1952","Gale",67,0.72
"1952","Christy",34,0.95
"1952","Lou",79,0.94
"1952","Shelly",38,0.93
"1952","Lauren",3,0.86
"1952","Sandy",15,0.69
"1952","Frankie",89,0.4
"1952","Shannon",47,0.8
"1952","Dee",65,0.79
"1952","Robbie",71,0.68
"1952","Meredith",94,0.81
"1952","Lesley",14,0.8
"1952","Kelly",10,0.27
"1952","Tracy",40,0.47
"1952","Allison",37,0.86
"1952","Shelby",2,0.64
"1952","Sydney",8,0.78
"1952","Leigh",25,0.66
"1952","Sherrill",93,0.84
"1952","Jacque",97,0.89
"1952","Gerry",56,0.31
"1952","Stacy",27,0.56
"1952","Lindsay",13,0.57
"1952","Jodie",70,0.74
"1952","Rosario",63,0.81
"1952","Sidney",84,0.1
"1952","Donnie",83,0.06
"1952","Hilary",9,0.79
"1952","Lindy",16,0.74
"1952","Lavon",50,0.72
"1952","Lindsey",7,0.34
"1952","Kelley",26,0.45
"1952","Hollie",48,0.84
"1952","Artie",86,0.41
"1952","Hillary",69,0.74
"1952","Clair",24,0.24
"1952","Courtney",41,0.32
"1952","Alpha",72,0.67
"1952","Sheridan",60,0.63
"1952","Blair",58,0.11
"1952","Ashley",11,0.29
"1952","Jaime",74,0.1
"1952","Arden",87,0.25
"1952","Whitney",23,0.28
"1952","Carman",73,0.62
"1952","Marlo",98,0.31
"1952","Arlyn",61,0.28
"1952","Carlie",64,0.44
"1952","Kendall",35,0.07
"1952","Stevie",33,0.05
"1952","Deon",77,0.51
"1952","Kelsey",78,0.46
"1952","Lacey",62,0.28
"1952","Aubrey",1,0.03
"1952","Brook",66,0.42
"1952","Ivey",81,0.24
"1952","Lacy",18,0.09
"1952","Avery",91,0.07
"1952","Charley",29,0.04
"1952","Lorin",43,0.08
"1952","Morgan",12,0.04
"1952","Paris",21,0.18
"1952","Waverly",31,0.18
"1952","Elisha",95,0.11
"1953","Beverly",44,1
"1953","Jean",68,0.98
"1953","Robin",85,0.78
"1953","Lynn",46,0.8
"1953","Leslie",4,0.64
"1953","Michele",75,0.99
"1953","Jan",30,0.82
"1953","Shelley",52,0.98
"1953","Lou",79,0.98
"1953","Gale",67,0.79
